Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Primary Energy|Coal,EJ/yr,169.9181,133.3518,132.662,133.3789,132.2011,129.4235,125.078,123.7954,129.3221,139.6004,159.7312,197.7116,244.702,258.0095,265.3159,270.8891,270.7208
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.9607,106.1735,55.3712,24.5603,28.6566,42.0103,70.9976,104.1876,102.2491,102.2681,102.2915,98.2385,94.1922,81.1983,63.4168,37.0042,31.9613
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.7108,101.421,53.3452,23.6144,27.2789,40.2492,71.1246,97.9588,94.7542,92.0209,85.2841,75.6162,64.8785,48.1346,30.7841,11.1407,7.6861
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.9607,103.7161,72.6431,77.8428,85.1701,91.1824,101.493,105.7239,100.1587,100.6389,103.6404,108.4537,111.4785,110.636,108.5806,101.975,89.1324
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Primary Energy|Coal,EJ/yr,165.7108,99.0234,68.9357,73.5709,81.0547,87.8408,99.5524,104.3735,99.1727,100.9895,103.6003,103.0646,101.797,95.8806,86.428,72.8178,56.1358
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Primary Energy|Coal,EJ/yr,170.2068,188.4223,202.118,216.9199,227.772,234.3669,230.163,228.6057,235.7764,253.7215,280.8307,312.5737,339.7457,363.5101,363.0405,360.5623,374.0694
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Primary Energy|Coal,EJ/yr,172.4709,191.1793,205.604,220.5351,230.7057,237.7835,232.7257,232.7555,241.9214,261.9607,289.9877,322.2034,348.9377,371.9854,365.2255,373.6129,392.5403
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,98.8815,101.6261,99.044,92.6741,76.5773,63.4358,52.129,43.5226,39.06,34.7558,30.8695,27.3208,24.1565
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,100.7828,105.1461,104.3005,102.5735,84.9708,71.2845,60.8568,53.5549,48.0097,42.7754,38.0238,33.6739,29.8632
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,113.4911,123.6065,121.4582,120.7011,107.1097,90.3233,78.2422,67.5629,57.6687,51.6148,45.9693,40.6784,35.8333
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,122.2666,136.3285,132.2387,131.5341,125.2836,106.6402,92.667,82.0503,74.339,66.669,59.4179,52.8255,46.6623
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,133.3868,141.3648,134.5958,132.7714,130.1426,116.6201,101.2795,90.7942,79.6525,68.3708,60.1218,53.5879,47.4063
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Primary Energy|Coal,EJ/yr,188.9912,187.4314,190.5167,147.9183,140.4145,142.9706,135.1247,132.3107,130.196,120.1699,105.0546,94.3752,83.2739,74.8346,66.99,59.5579,52.6492
