Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.1872,2.5801,2.0381,1.5849,1.2187,0.9305,0.7042,0.5366,0.4101,0.3021,0.214,0.1547,0.1131,0.0833,0.0618,0.0462,0.0345
AIM/CGE 2.1,CO_Bridge,P3c,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9258,1.5447,0.7723,0.3919,0.2379,0.1531,0.1002,0.0843,0.0684,0.0577,0.047,0.03955,0.0321,0.0270999999999999,0.0220999999999999,0.0185499999999999,0.015
AIM/CGE 2.1,CO_CurPol,P1b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9258,3.1559,2.5043,2.014,1.6118,1.2712,0.9547,0.87715,0.7996,0.7706,0.7416,0.72965,0.7177,0.7031499999999999,0.6886,0.6537,0.6188
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8769,1.1818,0.3536,0.0937,0.0853,0.0906,0.0987,0.0967,0.0739,0.0537,0.0371,0.0235,0.0154,0.0087,0.0045,0.0018,0.0011
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7973,1.073,0.3173,0.0816,0.0723,0.075,0.0798,0.0766,0.0563,0.0385,0.0237,0.013999999999999,0.0083,0.0042,0.0019,0.0005,0.0003
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.8769,1.1375,0.5141,0.4359,0.3774,0.2967,0.2153,0.1446,0.0976,0.0731,0.055,0.0417,0.0301,0.02,0.0132,0.008,0.0045
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.7973,1.0333,0.4631,0.3853,0.3341,0.262,0.193,0.1294,0.0877,0.0672,0.0482,0.0308,0.0203,0.0128,0.0077,0.0043,0.0022
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9954,3.5557,3.0452,2.5801,2.1829,1.84,1.5383,1.3818,1.3294,1.3282,1.3006,1.1982,0.9734,0.7466,0.417,0.2395,0.1761
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,3.9711,3.5263,3.0233,2.5564,2.1513,1.8137,1.5092,1.3628,1.3228,1.3354,1.3126,1.2115,0.9823,0.75,0.3891,0.2429,0.1813
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.1543,0.1249,0.1044,0.0614,0.0348,0.0217,0.0131,0.0082,0.0061,0.0045,0.0034,0.0025,0.0018
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.1603,0.1369,0.1091,0.0653,0.0344,0.0224,0.0153,0.0112,0.0082,0.0059,0.0044,0.0032,0.0024
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.2007,0.1836,0.1368,0.0841,0.0373,0.022,0.016,0.0102,0.0062,0.0047,0.0035,0.0026,0.0019
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.2227,0.2058,0.1456,0.0915,0.0491,0.0238,0.0167,0.0116,0.0086,0.0062,0.0046,0.0033,0.0025
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.2695,0.2311,0.1576,0.0993,0.0553,0.0303,0.0182,0.0129,0.008,0.005,0.0035,0.0027,0.002
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.3163,0.2465,0.1682,0.106,0.0601,0.0341,0.0196,0.0137,0.0087,0.0063,0.0047,0.0034,0.0025
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.3576,0.2654,0.177,0.1124,0.0658,0.0365,0.0214,0.014,0.0094,0.0061,0.0042,0.0031,0.0023
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.42,0.2847,0.1831,0.1196,0.0761,0.0415,0.0246,0.0153,0.0106,0.0069,0.0048,0.0036,0.0026
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.42,0.2847,0.1831,0.1196,0.0761,0.0415,0.0246,0.0153,0.0106,0.0069,0.0048,0.0036,0.0026
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.1422,0.0845,0.0623,0.0462,0.029,0.0172,0.0114,0.0084,0.0061,0.0045,0.0034,0.0025,0.0018
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,0.5341,0.1424,0.0981,0.0862,0.0546,0.0326,0.0196,0.0116,0.0083,0.0061,0.0045,0.0033,0.0025,0.0018
AIM/CGE 2.2,EN_INDCi2100,P1c,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,2.8917,1.9365,1.124,0.6914,0.4762,0.3382,0.2101,0.1296,0.0858,0.0623,0.0419,0.0377,0.0434,0.0352,0.0271,0.0187
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.7037,0.3632,0.3412,0.2906,0.2034,0.1149,0.0545,0.0331,0.0224,0.0155,0.0112,0.0082,0.0059,0.0044,0.0032,0.0024
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.8062,0.4836,0.4483,0.3484,0.243,0.1408,0.0749,0.0418,0.0253,0.0172,0.0107,0.0066,0.004,0.0025,0.0019,0.0014
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.7889,0.4626,0.4372,0.3384,0.2377,0.1373,0.0737,0.0399,0.025,0.0168,0.0114,0.0084,0.0061,0.0045,0.0033,0.0024
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.8933,0.6063,0.5179,0.3864,0.2632,0.1603,0.0886,0.0514,0.0294,0.0191,0.0123,0.0077,0.0049,0.0032,0.0024,0.0018
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.8967,0.6133,0.5233,0.393,0.2698,0.1657,0.093,0.0528,0.0321,0.0197,0.013,0.0085,0.0062,0.0046,0.0034,0.0025
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.9447,0.658,0.5576,0.4017,0.278,0.1729,0.1006,0.056,0.0348,0.0208,0.0138,0.0087,0.0055,0.0038,0.0029,0.0021
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,1.0447,0.7462,0.5739,0.4156,0.2884,0.1835,0.1154,0.0665,0.0381,0.0241,0.0154,0.01,0.0065,0.0047,0.0034,0.0025
AIM/CGE 2.2,EN_NPi2020_1600f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,1.0447,0.7462,0.5739,0.4156,0.2884,0.1835,0.1154,0.0665,0.0381,0.0241,0.0154,0.01,0.0065,0.0046,0.0034,0.0025
AIM/CGE 2.2,EN_NPi2020_1800,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,1.1445,0.8197,0.5916,0.4285,0.299,0.1921,0.1242,0.0759,0.0428,0.0266,0.0167,0.0111,0.0074,0.0052,0.0039,0.0029
AIM/CGE 2.2,EN_NPi2020_1800f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,1.1445,0.8197,0.5916,0.4285,0.299,0.1921,0.1242,0.0759,0.0428,0.0266,0.0167,0.0111,0.0074,0.0052,0.0039,0.0029
AIM/CGE 2.2,EN_NPi2020_300f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2588,0.1541,0.1423,0.1135,0.0679,0.0413,0.0245,0.0142,0.0086,0.0059,0.0043,0.0032,0.0024,0.0018,0.0013
AIM/CGE 2.2,EN_NPi2020_400f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2665,0.1842,0.1796,0.1384,0.0778,0.0463,0.0277,0.0162,0.0094,0.0059,0.0043,0.0032,0.0024,0.0018,0.0013
AIM/CGE 2.2,EN_NPi2020_500f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2881,0.2218,0.2137,0.1588,0.0827,0.0482,0.0303,0.0178,0.0106,0.0063,0.0042,0.0032,0.0024,0.0018,0.0013
AIM/CGE 2.2,EN_NPi2020_600,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6757,0.2588,0.1404,0.1088,0.0893,0.0576,0.0435,0.0323,0.0229,0.0162,0.0114,0.0081,0.0057,0.0042,0.0031,0.0023
AIM/CGE 2.2,EN_NPi2020_600f,P2a,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.995,0.6788,0.3169,0.2737,0.2488,0.1807,0.0964,0.0467,0.0314,0.0199,0.0119,0.007,0.0044,0.0032,0.0025,0.0018,0.0014
