Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39047.563,29149.9958,19103.6204,15147.6487,12112.2817,9970.0502,7144.2258,6023.4045,5316.6075,5156.2916,4366.4127,4712.3034,5090.5168,5270.7511,5461.337,5846.9128,6217.219
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Emissions|CO2,Mt CO2/yr,39047.563,35181.9184,30949.0837,26327.8842,23039.4457,21470.1561,19115.7152,16971.6724,15637.8318,14464.8411,12942.4012,12481.1039,11996.444,11723.5996,11429.2472,11597.8092,11726.9532
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45707.9954,48945.8132,51232.4203,53707.7907,55904.0091,57802.1948,59106.2745,60415.3547,61298.9595,62291.8646,63414.2889,64502.1293,65585.721,66927.4868,68200.5878,69381.0005,70570.0529
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39041.0883,29136.0166,19055.7365,15037.9589,11984.565,9823.3959,7004.1768,5860.3569,5144.8141,4986.3026,4215.0125,4558.5666,4888.2681,5031.0237,5187.6325,5537.4066,5906.7502
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Emissions|CO2,Mt CO2/yr,39041.0883,35168.664,30924.4935,26262.2359,22905.5987,21305.6617,18935.2751,16824.9857,15523.3829,14376.6625,12888.5599,12484.6197,12032.077,11785.5842,11540.0129,11723.2551,11861.5567
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45692.0477,48916.2174,51184.8674,53634.3668,55803.6334,57691.0469,58997.4125,60303.2874,61177.7839,62156.7434,63267.8779,64337.0402,65405.8339,66736.9958,67986.9683,69153.1817,70318.6663
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,39056.6238,29137.4219,19104.6972,15336.5946,12677.0701,10666.0,7687.507,6876.1336,6219.7917,6132.5887,5364.7864,5728.156,6110.9648,6282.5965,6438.4523,6773.2051,7103.3749
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Emissions|CO2,Mt CO2/yr,39056.6238,35152.3772,30869.9934,26513.0406,23348.6076,21913.8236,19594.3989,17883.6843,16862.0109,15842.8204,14272.8345,13862.2319,13387.963,13051.262,12696.647,12777.3534,12823.5581
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45827.1537,49130.7764,51480.5244,54001.4913,56139.725,58001.1792,59198.214,60501.5345,61374.4034,62336.4053,63412.4712,64429.2184,65387.7457,66559.728,67649.3063,68530.5375,69379.9012
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Emissions|CO2,Mt CO2/yr,36801.8818,27706.2527,18081.6156,14301.0447,11632.7954,9590.7993,6623.8522,5447.5722,4677.0651,4388.7857,3511.9659,3594.3374,3677.195,3540.9926,3381.4684,3373.2433,3330.4104
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Emissions|CO2,Mt CO2/yr,36801.8818,33151.7331,29200.791,24741.8702,21935.4094,20612.5333,18167.2572,15819.3456,13885.8818,12540.2625,11030.6032,10465.4519,9749.1497,9122.0459,8475.3575,8211.5338,7874.6226
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Emissions|CO2,Mt CO2/yr,40799.3374,42251.271,42781.7947,43513.6194,43934.8009,44202.7162,43949.2454,44514.0764,44509.1867,44255.4732,43690.0718,43113.4558,42510.1001,41839.1451,41096.8099,40410.7997,39707.1606
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Emissions|CO2,Mt CO2/yr,39088.4938,37900.5401,35312.021,25085.096,18022.8535,15106.3884,13055.3991,10244.1817,7460.3567,6064.4635,6668.8414,7268.3313,7957.0556,8389.1803,7983.2089,7441.232,5989.1869
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Emissions|CO2,Mt CO2/yr,39274.5709,38417.612,36068.4425,37371.5276,38447.2877,39105.1993,39519.9596,40241.9028,41523.0761,42953.9088,44033.1912,45169.8896,46515.0323,47930.4922,49433.6268,50825.6954,51588.3074
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Emissions|CO2,Mt CO2/yr,39088.4938,37900.5401,35312.021,25091.8074,17468.7294,7230.6543,4386.3835,858.7753,-2322.0185,-4015.2768,-3475.5363,-3174.0557,-2791.1217,-2447.7625,-2487.8312,-2759.8253,-3152.046
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Emissions|CO2,Mt CO2/yr,39431.7795,41321.031,42826.6846,44627.629,46122.3991,47297.5997,48146.9873,49422.0315,51125.3109,52933.1008,54720.8902,56447.1404,57939.9019,59543.1186,61219.9601,62905.9152,63723.0788
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Emissions|CO2,Mt CO2/yr,38682.1867,31600.5259,23423.4814,14732.393,11684.0263,9315.3868,7141.7513,4059.6392,1032.6013,-640.3628,-25.3164,342.4037,773.4874,1217.1827,1162.8789,664.5469,20.1297
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Emissions|CO2,Mt CO2/yr,39252.2177,32922.1093,24445.3488,20740.1488,19392.8449,17671.2517,15833.9838,13316.4963,10806.3148,9275.0995,9903.2324,10533.3504,11263.5854,11857.7899,11511.9539,10472.9574,8941.5908
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Emissions|CO2,Mt CO2/yr,38682.7636,29352.4509,21604.8704,13371.3932,6795.0827,-279.4315,-4957.6403,-6502.5316,-7023.2802,-7010.6706,-7004.2178,-6977.658,-6913.2913,-6879.239,-6773.2306,-6846.3809,-6818.7646
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Emissions|CO2,Mt CO2/yr,41940.6461,45002.6966,47649.9601,50304.504,52331.3223,53794.582,54525.1941,55399.9572,56687.7632,58200.8251,59989.123,62166.9841,64473.5093,66453.2729,67311.7608,67775.5723,69295.6956
AIM/CGE 2.1,CO_Bridge,P3c,Emissions|CO2,Mt CO2/yr,39436.4444,34467.6939,30654.7011,24766.2849,19504.8141,14408.4883,8672.9805,6629.266,4585.5515,3752.92845,2920.3054,2435.71205,1951.1187,1530.6396,1110.1605,706.70345,303.2464
AIM/CGE 2.1,CO_CurPol,P1b,Emissions|CO2,Mt CO2/yr,39465.8494,41466.3759,42615.1612,44088.9515,45241.5929,45891.8332,45708.5639,45964.30785,46220.0518,46537.8139,46855.576,47348.483,47841.39,48393.6675,48945.945,49430.16,49914.375
AIM/CGE 2.1,EMF33_Baseline,P1a,Emissions|CO2,Mt CO2/yr,45690.2015,49260.535,51725.2154,54248.8283,56441.9553,58247.5714,58593.6777,59944.1366,61423.7945,64212.763,68318.4723,71349.0506,71484.4811,71819.242,73038.1071,73915.212,74574.2417
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Emissions|CO2,Mt CO2/yr,43736.3442,32690.4514,25635.644,23209.5184,24211.9827,19917.3092,16209.7605,12043.9543,9707.9342,6804.686,9620.6969,8544.0074,7719.399,8054.7066,8123.5562,8355.7972,8661.3157
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Emissions|CO2,Mt CO2/yr,43739.2684,32683.1463,25600.7516,23815.9443,25223.096,19806.5837,17085.7939,13167.7831,10882.8344,7497.8682,8088.2218,7980.2763,8148.6513,8309.8082,8361.2441,8547.1912,9392.8555
