Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_INDCi2100,P1c,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,31.38,27.4403,20.4428,15.4546,12.7083,11.1023,8.9592,6.773,5.0633,3.9853,3.1678,2.5356,2.1278,1.853,1.665,1.4979
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,7.1514,3.774,4.5045,4.9017,3.9425,2.2852,1.1435,0.862,0.7656,0.654,0.5927,0.5417,0.4936,0.4489,0.4085,0.3764
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,8.4585,5.5896,6.8426,6.5192,5.2473,3.0307,1.6949,1.0857,0.8346,0.7589,0.6138,0.4712,0.3673,0.2902,0.2513,0.2216
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,8.2382,5.2358,6.5965,6.2438,5.0754,2.9462,1.6625,1.0319,0.8336,0.7403,0.639,0.5793,0.525,0.475,0.4328,0.3954
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,9.5609,7.7545,8.4541,7.6241,5.955,3.6867,2.1073,1.3883,0.9607,0.8267,0.7009,0.5594,0.4337,0.3538,0.3106,0.282
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,9.5891,7.8591,8.5595,7.7992,6.1703,3.8662,2.2526,1.4415,1.0523,0.8403,0.729,0.6087,0.5516,0.498,0.4562,0.4147
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,10.1841,8.6244,9.3245,8.0379,6.4447,4.1154,2.5192,1.5559,1.15,0.8701,0.7719,0.6237,0.5032,0.4263,0.3883,0.3529
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,11.4037,10.1227,9.6336,8.3816,6.6741,4.4275,3.0567,1.9407,1.2911,1.0106,0.8418,0.7125,0.5918,0.5307,0.4819,0.4361
AIM/CGE 2.2,EN_NPi2020_1600f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,11.4037,10.1227,9.6336,8.3816,6.6741,4.4275,3.0567,1.9407,1.2911,1.0106,0.8418,0.7125,0.5918,0.5206,0.4719,0.4265
AIM/CGE 2.2,EN_NPi2020_1800,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,12.5933,11.2832,9.97,8.7026,7.0007,4.7268,3.391,2.3295,1.4977,1.1246,0.8927,0.7825,0.6613,0.5923,0.54,0.492
