Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36122.3288,38313.6731,40237.5074,42327.0575,44111.8129,45559.6931,46725.459,48002.1019,49826.3214,51724.2813,53649.0776,55471.8274,57083.256,58796.5494,60585.3702,62371.6672,63275.5328
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35214.9733,30107.3223,23049.2298,16129.859,13160.0291,11384.9072,10992.1203,7926.3893,4769.1086,2358.2786,2448.8223,2638.9622,2815.3945,3219.2818,3017.4398,2404.107,1701.0982
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35643.8913,31389.5583,24018.0963,21197.106,21018.1612,20460.2619,19210.7541,16487.477,13717.7597,11558.894,12000.918,12420.4679,12942.4889,13406.639,12982.2251,11865.6462,10260.5285
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35215.8959,27972.8032,21485.0184,15085.6993,10057.355,4259.161,307.9178,-897.6098,-1499.5941,-1998.9689,-2134.3946,-2294.8123,-2672.8054,-2899.8479,-3026.2295,-3168.8491,-3381.6112
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,38693.1698,41986.3647,45003.0866,47950.308,50259.9277,51955.7043,53083.3211,53956.2506,55329.1928,56953.8398,58844.9968,61138.5453,63567.3582,65659.2764,66609.7924,67201.177,68826.7512
AIM/CGE 2.1,CO_Bridge,P3c,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36053.0953,32608.9478,29665.2091,25030.4568,20872.2633,16445.5678,11398.4067,9332.2888,7266.1709,6364.1691,5462.1673,4846.78095,4231.3946,3682.7115,3134.0284,2653.19025,2172.3521
AIM/CGE 2.1,CO_CurPol,P1b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36086.185,38315.409,39907.3811,41676.6551,43138.4911,44085.3688,44216.0317,44500.90975,44785.7878,45205.2368,45624.6858,46161.7284,46698.771,47314.94125,47931.1115,48482.6267,49034.1419
AIM/CGE 2.1,EMF33_Baseline,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39433.6208,43235.9121,46533.1002,49669.1648,52306.8439,54431.8081,55203.0525,56210.023,57989.3273,61166.7099,65647.6396,69049.1716,69615.1135,70427.8518,71862.3439,72893.8407,73740.4083
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37965.4997,31367.2266,25664.0504,21261.6208,20557.6057,18701.3926,17025.5412,14803.6854,12563.9513,10170.1337,8337.8366,8452.6978,8546.5681,8833.7338,9141.372,9410.7834,9703.5371
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37965.6248,31358.5514,25621.9963,21147.493,20451.743,18644.3297,16954.8559,14718.6821,12429.7103,10007.778,8037.3634,8217.2789,8423.8072,8717.5872,9029.9514,9314.1605,9612.3905
