Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,3842.0815,3337.0858,2844.187,2435.4873,1973.4493,1841.1147,1795.8185,1750.8928,1673.6631,1506.567,1219.239,1099.3057,1015.3412,939.5619,862.2487,801.5603,752.8125
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4091.7697,4012.6976,3903.2768,3818.2612,3719.5408,3579.6075,3424.468,3322.5129,3236.4278,3135.1399,3017.9417,2909.7037,2810.9082,2704.9816,2592.9608,2479.0219,2366.911
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4608.777,4492.3221,4325.0803,2449.9854,1688.9077,1644.9486,1795.365,1731.6863,1582.3354,1462.4915,1482.6967,1485.7073,1493.4153,1489.6683,1435.082,1387.7367,1302.0455
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4623.9942,4537.1676,4377.2902,4518.4111,4635.6009,4713.1998,4754.6857,4898.4386,5055.5456,5142.0627,5109.8048,5111.5831,5160.9907,5192.6052,5207.2466,5210.4457,5091.2369
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4608.777,4492.3221,4325.0803,2418.9728,1649.8513,675.0712,721.6182,896.6842,816.3399,535.3838,602.5395,686.8435,744.0243,792.3619,796.2071,747.761,650.4461
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4664.3608,4845.3334,5001.7777,5119.5492,5205.0809,5236.9448,5216.1772,5256.681,5293.1098,5276.0259,5241.3295,5139.6927,5005.933,4925.0262,4852.6899,4851.5141,4628.8541
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4588.5033,3327.0626,2165.3662,1188.4122,1110.2627,1421.6814,1517.1851,1397.0119,1274.6551,1012.6841,1077.8428,1146.1729,1213.7464,1245.3986,1225.2956,1195.5048,1098.593
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4622.6291,3508.1644,2295.6918,1996.2717,2175.5909,2209.5044,2126.7885,1951.5939,1770.2901,1637.8965,1652.3837,1655.6792,1657.9107,1653.6181,1599.4034,1524.9994,1425.7862
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4588.4374,2952.2128,1920.5431,1072.3073,707.6566,350.8553,181.335,156.0591,157.1773,165.7619,177.5123,171.7167,129.3569,110.2079,110.1599,109.1564,68.8539
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4732.827,4870.7012,4903.3038,4918.6043,4940.3834,4929.0479,4879.8068,4958.0732,5080.5117,5213.0321,5305.6307,5381.3535,5367.9895,5234.3104,4807.3365,4494.6103,4418.1253
