Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15745.5389,18008.2114,20011.4156,22090.5242,23752.9802,24946.4701,25165.4815,25018.1306,25361.1737,26486.5505,28434.5281,30931.032,33497.0121,35915.0514,37282.6331,38194.5027,39717.5475
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,15869.0355,18138.6392,20160.0598,22208.3614,23767.2188,24947.1821,25001.5191,24978.5321,25448.8052,26707.577,28673.9195,31158.9508,33654.0104,35999.6586,37067.7192,38686.0491,40655.5574
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,9068.8832,6103.4093,3023.753,170.1368,-2635.0849,-5477.6043,-7774.7565,-9441.613,-9798.3328,-10208.0,-10587.0,-10910.0,-11204.0
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,9178.9477,6243.1999,3266.7134,540.2435,-1974.2377,-5030.1754,-6184.4932,-6508.1794,-6825.3265,-7122.6572,-7419.2579,-7674.1775,-7853.8178
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,9914.0055,7150.2598,4233.3118,1630.2711,349.8891,-2259.0016,-5128.1123,-7422.198,-9261.3397,-9745.8855,-10150.0,-10523.0,-10831.0
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,10463.1965,7742.1489,5192.9425,2533.4014,939.0415,-1055.1363,-3856.2649,-6108.635,-6315.8381,-6621.9247,-6951.6835,-7186.0909,-7423.0808
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,11059.4148,8837.9705,6454.9386,3831.1504,2186.7057,243.1048,-2260.7789,-4935.4245,-7111.7095,-9005.394,-9831.6108,-10175.0,-10484.0
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,11350.7324,9553.2916,7154.0236,4585.5289,2835.22,1065.1016,-1232.8817,-4058.2377,-6288.6433,-6540.3901,-6805.3569,-7053.588,-7303.5042
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,11985.0612,10156.0827,7859.6864,5297.6254,3331.0699,1705.1055,-347.1233,-3014.594,-5476.3728,-7302.3407,-8282.3682,-8553.8306,-8786.0811
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,13106.0738,11341.5472,9270.3285,6736.1303,4306.2004,2731.1552,919.9273,-1301.5292,-4134.8147,-5662.3024,-6341.9534,-6603.5544,-6870.5903
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,13106.0738,11341.5472,9270.3285,6736.1303,4306.2004,2731.1552,919.9273,-1301.5292,-4134.8147,-5662.3024,-6341.9534,-6603.5544,-6870.5903
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,8828.3571,5297.9388,1440.6729,-2517.018,-5263.736,-7504.4737,-8538.6478,-9090.0006,-9607.017,-10072.0,-10484.0,-10837.0,-11148.0
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,14897.388,8832.6625,5657.4721,2499.5571,-1186.8546,-4030.0321,-6606.612,-8644.1176,-9251.2261,-9738.6264,-10179.0,-10561.0,-10898.0,-11200.0
AIM/CGE 2.2,EN_INDCi2100,P1c,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16203.5947,16929.0641,17146.7081,16646.6105,15134.6044,13400.1088,12017.6776,10450.7572,8627.1249,6599.081,5246.6938,4029.0689,2576.4636,1437.8963,311.6542,-713.669
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,12972.4743,9833.113,7590.8392,5232.6713,2810.4421,1261.2261,18.3683,-2606.5204,-5266.4114,-6201.379,-6502.8053,-6818.7141,-7115.6974,-7403.6871,-7661.2516,-7860.8374
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,13431.5432,10747.6505,9326.1503,7499.8132,5138.4122,3194.479,1794.9267,194.2891,-2291.2323,-4834.3128,-6955.9656,-8823.0362,-9848.4937,-10640.0,-11177.0,-11647.0
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,13360.7384,10664.0421,9073.1892,7258.8785,4840.5995,3000.007,1539.2246,-58.2781,-2680.1011,-5149.8533,-6321.0985,-6600.4564,-6896.8358,-7192.7791,-7430.8508,-7636.5206
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,13757.2017,11183.1109,10240.7567,8616.8745,6474.1287,4298.1645,2732.4466,1280.9622,-473.4463,-3166.4895,-5405.282,-7526.7248,-9313.1271,-10199.0,-10790.0,-11278.0
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14007.232,11691.5445,10737.4207,9127.1343,6991.5419,4802.1132,3102.9504,1744.6408,-21.1339,-2533.8886,-4898.7332,-6497.0128,-6723.0154,-7009.3476,-7218.4282,-7443.7754
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14178.0223,12221.901,11211.2638,9825.3823,7705.7701,5527.8052,3583.032,2314.0051,499.4292,-1525.0985,-4175.839,-6283.0282,-8118.8773,-9102.4011,-9431.6593,-9737.1913
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14495.5951,12776.8357,12143.1082,10955.9248,9217.2259,7086.597,4746.3679,3210.7854,1773.7525,-62.9566,-2328.8847,-4696.6841,-6284.1272,-6729.8219,-6973.9854,-7229.1003
AIM/CGE 2.2,EN_NPi2020_1600f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14495.5951,12776.8357,12143.1082,10955.9248,9217.2259,7086.597,4746.3679,3210.7854,1773.7525,-62.9566,-2328.8847,-4696.6841,-6284.1272,-7065.3506,-7291.8103,-7539.9511
AIM/CGE 2.2,EN_NPi2020_1800,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14771.335,13878.5341,13239.1778,12030.3617,10429.1165,8375.5027,6034.7951,4047.7579,2657.9485,884.1448,-973.2469,-3552.7658,-4906.0754,-5409.9147,-5659.9464,-5931.5741
AIM/CGE 2.2,EN_NPi2020_1800f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,14771.335,13878.5341,13239.1778,12030.3617,10429.1165,8375.5027,6034.7951,4047.7579,2657.9485,884.1448,-973.2469,-3552.7658,-4906.0754,-5409.9147,-5659.9464,-5931.5741
