Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5923.1822,5618.5238,4754.787,4183.6761,3767.2028,3455.4008,2904.7314,3225.3392,2891.7033,2599.7967,2355.0258,2120.941,1778.4287,1526.6694,1340.299,1049.5312,844.6536
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3359.164,1322.7921,84.8995,-1154.9772,-2163.954,-2694.7602,-3274.0855,-3156.3741,-3196.0016,-3053.5795,-3037.3948,-2615.7306,-2319.2025,-2269.3425,-2218.8349,-1983.1132,-1769.1681
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3359.164,1831.6094,1056.8014,234.5381,-43.2691,436.0048,166.6454,-99.9051,-742.4159,-1137.9389,-1219.0008,-1169.2728,-1339.3735,-1387.1667,-1468.9496,-1260.4231,-1200.7197
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5938.1719,5631.2387,4764.9258,4190.0592,3757.9012,3403.4792,2869.5544,3161.5133,2826.4806,2528.1108,2262.9049,2004.5341,1721.4941,1472.1379,1274.7933,987.68,785.0518
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3409.9872,1333.037,102.9438,-1153.9441,-2203.123,-2752.5119,-3278.4808,-3176.3097,-3249.7359,-3121.1743,-3099.4472,-2692.1171,-2388.4012,-2322.9118,-2245.3421,-1985.1901,-1743.5194
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3409.9872,1862.3334,1087.1235,214.5972,-52.3474,367.8809,67.3647,-215.9847,-809.3868,-1184.0688,-1258.4161,-1223.5658,-1400.8668,-1439.7846,-1522.597,-1300.9064,-1227.8287
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5940.274,5634.6524,4768.1035,4190.4588,3759.5062,3401.389,2868.1841,3160.5767,2825.3685,2528.91,2264.3046,2016.2712,1723.4567,1473.4493,1280.8581,993.1917,791.1083
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3420.1731,1337.604,113.8764,-1144.2322,-2216.3853,-2776.4447,-3265.4203,-3216.3626,-3270.4009,-3180.5525,-3152.9856,-2760.5312,-2485.2951,-2435.3517,-2365.4637,-2108.1404,-1858.3052
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3420.1731,1879.8015,1111.3326,225.0096,-17.0868,374.5791,42.6855,-240.8571,-802.9492,-1149.5872,-1260.1705,-1214.2782,-1385.9997,-1439.9061,-1518.5871,-1298.3933,-1228.0732
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5940.3032,5634.5251,4767.8838,4190.0726,3758.714,3400.2435,2867.0232,3159.0806,2824.3374,2527.8916,2262.9827,2013.14,1722.1249,1472.2961,1277.7732,991.4111,791.7218
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3378.3301,1337.314,107.3961,-988.9994,-1846.238,-2254.0087,-3096.806,-2899.8732,-2891.1448,-2663.0135,-2736.4442,-2291.4729,-1971.6356,-1905.0191,-1835.1571,-1593.5572,-1364.3074
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3378.3301,1902.3395,1218.725,537.699,426.3317,1132.645,1152.3027,399.5819,-230.8946,-655.5104,-953.9828,-841.5305,-985.951,-1066.3424,-1175.4805,-982.1954,-932.146
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5920.9436,5614.809,4751.0286,4182.0286,3763.5845,3451.1586,2898.1255,3217.6951,2885.7388,2590.7477,2339.8542,2086.4254,1764.5298,1518.1711,1354.7097,1032.8817,826.6119
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,4134.8611,1535.2848,433.8709,-689.1799,-1604.3178,-1988.1957,-2927.8823,-2788.8455,-2767.6186,-2665.7703,-2749.7856,-2446.6536,-2268.0258,-2327.1921,-2385.1932,-2279.3028,-2199.2482
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Emissions|CO2|AFOLU,Mt CO2/yr,4134.8611,2341.8288,1566.3272,782.8581,997.0417,1660.7287,1352.6515,1089.6447,142.7897,-564.1471,-787.9772,-755.4349,-1012.469,-1204.3919,-1395.7196,-1286.6034,-1308.0011
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,5653.038,5371.5846,4527.9523,3986.3391,3560.2009,3225.5421,2678.6626,2965.8415,2624.8321,2308.9987,2029.5972,1746.8391,1457.0428,1218.3521,971.2306,752.7679,516.6308
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,3126.962,2524.8897,1277.0088,449.3802,-1308.7123,-1403.6302,-2842.2223,-3486.4298,-3547.9859,-2989.8731,-2727.7028,-2419.9047,-2131.0744,-1985.5317,-1851.5353,-1737.7955,-1601.4475
