Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.9112,49.6989,56.1639,62.9656,69.1443,75.0145,80.4476,81.6902,83.4073,85.283,87.918,90.9725,95.1274,100.4035,106.8801,112.7181,118.414
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1626,21.4212,9.8391,7.2231,5.6412,6.5986,11.1946,9.6407,7.8077,6.887,4.9016,4.7024,4.819,5.0375,5.2532,5.4781,5.7572
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1626,30.3518,23.7245,18.5344,14.7496,15.0875,18.0034,20.1251,20.1207,19.8873,18.9141,18.842,18.9733,19.1509,19.2838,19.6669,20.2488
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.1041,48.4779,54.4861,60.8304,66.8936,72.7023,78.1061,79.3095,80.9274,82.7817,85.5125,88.75,93.0278,98.6412,105.6604,111.9278,118.6757
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1139,21.3781,9.7343,7.0639,5.5276,6.4576,10.8431,9.4091,7.5264,6.6837,4.7177,4.5122,4.5825,4.7491,4.8929,5.0341,5.2502
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.1139,30.2778,23.611,18.434,14.4857,14.7493,17.4562,19.4698,19.5247,19.351,18.5548,18.7266,19.0571,19.4428,19.8285,20.378,21.0796
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.0632,48.402,54.366,60.6487,66.6439,72.4366,77.8629,79.0868,80.7029,82.5455,85.2642,88.4635,92.7233,98.3116,105.2764,111.4951,117.7969
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.652,21.9705,10.4069,7.7595,6.3499,7.9846,13.7186,11.2989,9.3054,8.3539,6.5679,6.3189,6.4797,6.7662,7.0026,7.2447,7.5252
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,36.652,31.0071,25.3168,20.5655,17.1577,18.2672,22.7289,22.4785,22.3919,22.3103,21.666,21.7045,21.912,22.0988,22.2122,22.538,23.0462
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,42.84,49.5537,55.9003,62.5153,68.4446,73.9884,79.0275,80.0128,81.5015,83.1764,85.594,88.4401,92.346,97.4923,103.5337,109.2296,114.692
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,33.7197,22.043,9.6398,7.0494,5.4255,6.0128,9.2533,9.6606,7.5879,6.5726,4.7731,4.3932,4.306,4.2635,4.1462,3.9707,3.7768
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,Secondary Energy|Electricity|Coal,EJ/yr,33.7197,30.3396,24.368,18.9779,14.0701,13.519,14.6447,15.6614,15.5023,15.1983,14.7172,14.5315,14.3766,14.1543,13.8084,13.4652,13.1069
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,37.0262,40.9771,44.5158,48.0844,50.7784,53.3811,55.51,56.5568,58.021,58.464,57.6467,56.9806,56.4727,56.1604,55.8824,56.0464,56.5196
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,P3b,Secondary Energy|Electricity|Coal,EJ/yr,34.4269,31.6908,29.0372,12.7719,7.8788,8.7765,10.8436,11.9762,11.9503,12.3381,13.4466,14.8148,16.3509,17.9092,19.3722,20.6891,21.6754
AIM/CGE 2.1,CD-LINKS_INDCi,P1c,Secondary Energy|Electricity|Coal,EJ/yr,34.6591,32.4136,29.2778,30.3085,31.1879,32.1676,33.5849,35.2887,37.4195,40.7879,43.9898,47.8914,52.594,57.9259,63.6771,69.3877,75.1347
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,P3b,Secondary Energy|Electricity|Coal,EJ/yr,34.4269,31.6908,29.0372,12.6038,7.92,6.0783,8.0844,10.7568,10.738,9.6004,10.5964,11.9133,13.3583,14.7039,16.001,16.8274,16.9339
AIM/CGE 2.1,CD-LINKS_NPi,P1b,Secondary Energy|Electricity|Coal,EJ/yr,34.7594,36.5244,37.4563,39.4095,41.2387,43.7535,47.3336,52.3745,56.9613,62.7415,68.3628,75.1242,80.9546,86.831,92.807,101.7279,107.1766
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,P2a,Secondary Energy|Electricity|Coal,EJ/yr,33.5864,24.6932,11.9287,6.3836,6.9639,10.605,12.1909,12.615,13.0848,13.2704,14.4688,15.8839,17.4866,18.8544,20.2942,21.6287,22.4578
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,P2a,Secondary Energy|Electricity|Coal,EJ/yr,33.8703,25.8659,12.063,9.1671,9.7423,10.8894,11.6026,12.3482,12.8402,13.256,14.6309,16.1416,17.88,19.6401,21.1272,22.2615,23.0025
AIM/CGE 2.1,CD-LINKS_NPi2020_400,P2a,Secondary Energy|Electricity|Coal,EJ/yr,33.5896,21.1106,10.6955,6.5753,6.2498,8.8152,5.785,5.3771,5.4167,5.7227,6.2407,6.3694,5.4174,5.0008,5.2078,5.3709,4.0133
AIM/CGE 2.1,CD-LINKS_NoPolicy,P1a,Secondary Energy|Electricity|Coal,EJ/yr,39.019,43.2558,47.7899,53.0546,57.6734,62.429,66.918,70.2974,73.0109,77.0608,81.9977,89.9293,98.3161,105.6621,110.5484,115.1872,123.1249
AIM/CGE 2.1,CO_Bridge,P3c,Secondary Energy|Electricity|Coal,EJ/yr,33.0707,30.9845,26.1848,20.0365,15.5039,11.9968,9.2826,8.23265,7.1827,6.3702,5.5577,4.92915,4.3006,3.8141,3.3276,2.9513,2.575
AIM/CGE 2.1,CO_CurPol,P1b,Secondary Energy|Electricity|Coal,EJ/yr,33.1078,36.3573,38.7971,42.3041,45.3361,48.1497,49.5153,50.1876,50.8599,50.9657,51.0715,51.8779,52.6843,54.5574,56.4305,58.928700000000006,61.4269
AIM/CGE 2.1,EMF33_Baseline,P1a,Secondary Energy|Electricity|Coal,EJ/yr,40.8149,46.4556,51.2987,56.5965,61.0051,65.1515,64.9892,65.2085,68.7805,77.9536,93.0355,106.4213,112.2021,116.7364,122.4259,129.3738,136.0246
AIM/CGE 2.1,EMF33_Med2C_cost100,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.9212,27.0035,17.755,14.053,15.9171,18.1161,21.6659,25.1435,24.8689,25.7831,27.1181,29.5093,32.1262,34.54,36.7912,38.6967,40.3055
AIM/CGE 2.1,EMF33_Med2C_full,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.9274,27.0413,17.872,14.3716,16.4123,18.3398,21.5568,24.4715,24.0963,24.9188,26.7094,28.7264,31.1385,33.4756,35.626,37.4072,39.1542
AIM/CGE 2.1,EMF33_Med2C_nobeccs,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.9274,27.0413,17.8631,14.1656,15.5655,16.9058,20.7792,24.6244,23.1055,20.9291,18.3341,20.6322,22.8824,25.2266,27.6137,29.7322,31.7614
AIM/CGE 2.1,EMF33_Med2C_nofuel,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.936,26.9355,17.9315,14.3206,16.1117,18.33,24.2232,27.9735,26.2706,23.6678,20.6683,23.2212,25.8094,28.6041,31.4261,34.0177,36.4927
AIM/CGE 2.1,EMF33_Med2C_none,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.8968,26.7831,17.7097,13.9914,15.6026,17.7797,23.7613,27.8329,25.5029,22.1328,18.4385,20.7228,22.864,25.3675,27.938,30.3225,32.6892
AIM/CGE 2.1,EMF33_WB2C_cost100,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.9212,27.0035,17.755,9.3774,8.6928,10.3264,15.2222,22.1987,19.332,15.3308,9.8124,11.4961,13.5489,15.8718,18.2908,20.6221,23.0278
AIM/CGE 2.1,EMF33_WB2C_full,P2b,Secondary Energy|Electricity|Coal,EJ/yr,38.9274,27.0413,17.872,9.6349,9.0438,11.0592,16.4127,23.2273,21.2869,18.3328,13.9385,16.052,18.4338,21.2344,24.1134,26.7367,29.4334
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Secondary Energy|Electricity|Coal,EJ/yr,39.993,30.5029,28.9019,27.6472,26.6343,26.9006,28.9029,34.5066,43.4131,43.8641,45.0463,46.0259,45.519,42.8801,38.7362,33.514,28.1639
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0366,30.5632,29.0148,27.8791,27.0712,27.5924,29.9603,36.3169,46.2449,47.2666,49.154,51.1225,51.3622,49.2432,45.411,40.2381,35.0016
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Secondary Energy|Electricity|Coal,EJ/yr,39.993,34.6751,34.8145,35.3553,35.2699,34.7377,33.6872,32.5508,32.7245,34.3068,38.4445,46.8212,57.3608,60.3142,61.5504,63.6296,63.7773
